tmdbId,person_id,name,character,order
348,5049,John Hurt,Kane,4
348,65,Ian Holm,Ash,5
348,5050,Yaphet Kotto,Parker,6
348,5051,Bolaji Badejo,Alien,7
348,5052,Helen Horton,Mother (voice),8
24,139,Uma Thurman,The Bride,0
24,140,Lucy Liu,O-Ren Ishii,1
24,2535,Vivica A. Fox,Vernita Green,2
24,589,Daryl Hannah,Elle Driver,3
24,141,David Carradine,Bill,4
24,147,Michael Madsen,Budd,5
24,2539,Julie Dreyfus,Sofie Fatale,6
24,2538,Chiaki Kuriyama,Gogo Yubari,7
24,2537,Sonny Chiba,Hattori Hanzo,8
24,240171,Gordon Liu,Johnny Mo,9
510,514,Jack Nicholson,Randle Patrick McMurphy,0
510,1370,Brad Dourif,Billy Bibbit,1
510,7071,Louise Fletcher,Nurse Mildred Ratched,2
510,518,Danny DeVito,Martini,3
510,7072,William Redfield,Dale Harding,4
510,7077,Scatman Crothers,Orderly Turkle,5
510,1062,Christopher Lloyd,Max Taber,6
510,68301,Will Sampson,Chief Bromden,7
510,7075,Dean R. Brooks,Dr. John Spivey,8
510,7073,Michael Berryman,Ellis,9
38,206,Jim Carrey,Joel Barish,0
38,204,Kate Winslet,Clementine Kruczynski,1
38,205,Kirsten Dunst,Mary,2
38,103,Mark Ruffalo,Stan,3
38,109,Elijah Wood,Patrick,4
38,207,Tom Wilkinson,Dr. Mierzwiak,5
38,209,Jane Adams,Carrie,6
38,212,David Cross,Rob,7
38,77013,Deirdre O'Connell,Hollis,8
38,130840,Thomas Jay Ryan,Frank,9
37165,206,Jim Carrey,Truman Burbank,0
37165,350,Laura Linney,Meryl Burbank / Hannah Gill,1
37165,11315,Noah Emmerich,Marlon / Louis Coltrane,2
37165,11317,Natascha McElhone,Lauren Garland / Sylvia,3
37165,11318,Holland Taylor,Angela Montclair / Alanis Montclair,4
37165,228,Ed Harris,Christof,5
37165,13242,Paul Giamatti,Simeon,6
